ResourceID,id,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Vaders van de Goede Dood,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Dienaren der zieken,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Camillianen OSCAM,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Orde van de Reguliere Geestelijken,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Reguliere Geestelijken ter Ziekenverpleging,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,CCRRMMII,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,CRMI,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Orde der Camillianen,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Orde van Reguliere Clericale Dienaren der Zieken,Alternative,Nederlands
459e3814-c3e2-5f37-ae24-9b56a78c3250,http://www.wikidata.org/entity/Q915029,alternate_names,1,Paters van de Zalige Dood,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,Paters Maristen,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,S.M.,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,SM,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,Societas Mariae,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,Sociëteit van Maria,Alternative,Nederlands
49adc653-ca65-5406-a35d-e4fcea043917,http://www.wikidata.org/entity/Q923103,alternate_names,1,Maristen SM,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Orde van Sint Birgitta,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Orde van St. Birgitta,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Orde van de Allerheiligste Verlosser,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,O.Ss.S,Alternative,Nederlands
