ResourceID,card,card_order,source_id,digital_reference_uri,alternate_name_content_type,digital_reference_type
21ac57f0-30fd-5626-83c4-3aa820ed3d3f,digital_reference,2,2747227,5491,Alternate,post
21ac57f0-30fd-5626-83c4-3aa820ed3d3f,digital_reference,2,2747227,5492,Alternate,post
21ac57f0-30fd-5626-83c4-3aa820ed3d3f,digital_reference,2,2747227,NLOED,Alternate,unlc
59dc6514-d07b-5522-805f-38e24d796b9a,digital_reference,2,2747233,Gemeente Sint-Michielsgestel,Alternate,
59dc6514-d07b-5522-805f-38e24d796b9a,digital_reference,2,2747233,Sint-Michielsgestel,Alternate,
59dc6514-d07b-5522-805f-38e24d796b9a,digital_reference,2,2747233,Sint-Michielsgestel,Alternate,nl
59dc6514-d07b-5522-805f-38e24d796b9a,digital_reference,2,2747233,Sint-Michielsgestel Municipality,Alternate,en
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,https://en.wikipedia.org/wiki/Sint-Michielsgestel,Alternate,link
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,Saint-Michel-Gestel,Alternate,fr
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,Սինտ-Միխիլսխեստել,Alternate,hy
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,سينت ميخيليسخيستل,Alternate,ar
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,5271,Alternate,post
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,5272,Alternate,post
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,NLSMG,Alternate,unlc
668144ae-6ca1-5af9-8195-842c4623cf0c,digital_reference,2,2747234,Q12013374,Alternate,wkdt
213161e7-1bbb-5578-bfa7-be8d26b6d66e,digital_reference,2,2747275,Sint Hubertsheide,Alternate,
213161e7-1bbb-5578-bfa7-be8d26b6d66e,digital_reference,2,2747275,Sint Hubertsche Heide,Alternate,
9a072ac0-d938-5afb-9ad1-ec4e9133111d,digital_reference,2,2747276,https://nl.wikipedia.org/wiki/Sint_Hubert,Alternate,link
9a072ac0-d938-5afb-9ad1-ec4e9133111d,digital_reference,2,2747276,Sint Hubert,Alternate,nl
9a072ac0-d938-5afb-9ad1-ec4e9133111d,digital_reference,2,2747276,https://en.wikipedia.org/wiki/Sint_Hubert,Alternate,link
9a072ac0-d938-5afb-9ad1-ec4e9133111d,digital_reference,2,2747276,5454,Alternate,post
9a072ac0-d938-5afb-9ad1-ec4e9133111d,digital_reference,2,2747276,Q2051031,Alternate,wkdt
cb843f25-7c55-5109-ad73-c6dc4668e573,digital_reference,2,2747287,Sint Antonius Abt,Alternate,nl
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Antonis,Alternate,
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Antonis,Alternate,
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,en
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,fr
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,de
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,id
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,it
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sintunnis,Alternate,li
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,nl
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Sint Anthonis,Alternate,sv
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,5845,Alternate,post
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,NLSIN,Alternate,unlc
2d538e7a-a63d-59bf-bb3d-c1e41dd130ab,digital_reference,2,2747290,Q14346629,Alternate,wkdt
a23cff76-f0b9-512f-8cba-c918ddf989a7,digital_reference,2,2747299,Sint Annabosch,Alternate,
a23cff76-f0b9-512f-8cba-c918ddf989a7,digital_reference,2,2747299,Sint Annabos,Alternate,
7346d4d5-9bcd-5ec7-a70a-d46ebe978021,digital_reference,2,2747303,https://nl.wikipedia.org/wiki/Sint_Agatha_(plaats),Alternate,link
7346d4d5-9bcd-5ec7-a70a-d46ebe978021,digital_reference,2,2747303,5435,Alternate,post
9447094b-a3a7-54a4-a8c1-9bad3db87d39,digital_reference,2,2747350,Den Bosch,Alternate,nl
9447094b-a3a7-54a4-a8c1-9bad3db87d39,digital_reference,2,2747350,'s-Hertogenbosch,Alternate,nl
9447094b-a3a7-54a4-a8c1-9bad3db87d39,digital_reference,2,2747350,Bois le Duc,Alternate,fr
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Hertogenbosch,Alternate,
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,'s Bosch,Alternate,abbr
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Bois-le-Duc,Alternate,fr
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Bolduque,Alternate,es
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Boscoducale,Alternate,it
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,De Bosk,Alternate,fy
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Oeteldonk,Alternate,nl
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Hertogenbosch,Alternate,pl
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Herzogenbusch,Alternate,de
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,'s-Hertogenbosch,Alternate,nl
