ResourceID,card,card_order,production_event_actor,production_event_actor_role,resource_id,identifier_content,identifier_type,architect_name,alt_names,other_identifier_content,other_identifier_type
30e5e574-4d58-5fe5-93f1-a732a1f524e3,architects,5,"[{""resourceId"": ""fc34dcdf-157f-5960-b5a5-2c0bd0d40585"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e3655b73-8c76-5bbb-840f-83f0834e2917"", ""inverseOntologyProperty"": """"}]",Architect,fc34dcdf-157f-5960-b5a5-2c0bd0d40585,https://n2t.net/ark:/15052/1f56df88-7ea6-41d3-bb6d-0b5373923e3a,Brabant Cloud ARK Identifier,Architectenbureau Marx en Steketee,,,
18180d88-4a6d-548c-b92e-654f1275f86e,architects,5,"[{""resourceId"": ""8e74b1de-8d6c-5d19-ae23-34890e29eb96"", ""ontologyProperty"": """", ""resourceXresourceId"": ""18ffd1ce-3ccd-5b3f-9b3c-e191fbc39d6a"", ""inverseOntologyProperty"": """"}]",Architect,8e74b1de-8d6c-5d19-ae23-34890e29eb96,https://n2t.net/ark:/15052/7a0123a4-9328-46b3-98a3-acdadc9ebda7,Brabant Cloud ARK Identifier,Constantius Johan Willem Panis,"['C. Panis', 'Constant Panis', 'C. J. W. Panis']",http://www.wikidata.org/entity/Q85173795,Wikidata
b50c1a4f-f0a7-5c5c-b277-17178a4248cc,architects,5,"[{""resourceId"": ""d2be7260-c41a-54a0-8d83-0681d63d09d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f35198b9-e08d-5ddd-b007-ac9a02a3e3ba"", ""inverseOntologyProperty"": """"}]",Architect,d2be7260-c41a-54a0-8d83-0681d63d09d3,https://n2t.net/ark:/15052/ed3f1207-8a6c-4995-b25a-572386e53b26,Brabant Cloud ARK Identifier,Pierre Cuypers,"['Petrus Josephus Hubertus Cuypers', 'Petrus Joseph Hubertus Cuypers', 'Peter J.J. de Cuyper', 'P.J.H. Cuypers', 'Pierre Joseph Hubert Cuypers']",https://www.wikidata.org/entity/Q540431,Wikidata
f57f48e8-74c4-53b3-b5be-7ba8394bf481,architects,5,"[{""resourceId"": ""1609f679-a4e2-519f-a32d-a4023f1eeeb2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ac2e8ae-64a6-588a-9aea-a96366ea5645"", ""inverseOntologyProperty"": """"}]",Architect,1609f679-a4e2-519f-a32d-a4023f1eeeb2,https://n2t.net/ark:/15052/f4027efe-b445-4c43-bfde-0f1c5fee996d,Brabant Cloud ARK Identifier,Caspar Franssen,"['C.J.H. Franssen', 'C. Franssen', 'Caspar Johannes Hubertus Franssen']",http://www.wikidata.org/entity/Q2682321,Wikidata
93eb1c89-4a6e-5d13-b18b-a50dd4211d71,architects,5,"[{""resourceId"": ""1609f679-a4e2-519f-a32d-a4023f1eeeb2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ac2e8ae-64a6-588a-9aea-a96366ea5645"", ""inverseOntologyProperty"": """"}]",Architect,1609f679-a4e2-519f-a32d-a4023f1eeeb2,https://n2t.net/ark:/15052/f4027efe-b445-4c43-bfde-0f1c5fee996d,Brabant Cloud ARK Identifier,Caspar Franssen,"['C. Franssen', 'Caspar Johannes Hubertus Franssen', 'C.J.H. Franssen']",http://www.wikidata.org/entity/Q2682321,Wikidata
d6910a89-5434-5ec1-a4a8-cf320e9226d3,architects,5,"[{""resourceId"": ""37aac260-c593-5925-b46d-c8680851fe4f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2b40f070-3f2e-506a-933b-fa6f967e0d0d"", ""inverseOntologyProperty"": """"}]",Architect,37aac260-c593-5925-b46d-c8680851fe4f,https://n2t.net/ark:/15052/de488d20-897c-4425-901f-f2ff012fdf59,Brabant Cloud ARK Identifier,Cees van Dijk,C. van Dijk,,
d6910a89-5434-5ec1-a4a8-cf320e9226d3,architects,5,"[{""resourceId"": ""1d9ceaa8-3078-5951-b128-8d86a9c4935d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d288cc69-5fc6-54d9-be5f-380c4eae64a0"", ""inverseOntologyProperty"": """"}]",Architect,1d9ceaa8-3078-5951-b128-8d86a9c4935d,https://n2t.net/ark:/15052/264e6d54-5ee2-4bca-adfa-c4b69c807655,Brabant Cloud ARK Identifier,Frans de Beer,"['F.C. de Beer', 'F. de Beer', 'Franciscus Cornelis de Beer']",https://www.wikidata.org/entity/Q45356330,Wikidata
88817008-8833-558c-9967-e8aea591402c,architects,5,"[{""resourceId"": ""505c65ad-18d6-5d12-837a-a3ad42292ebd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e5189ad1-a926-50a2-bbc8-2423949a249f"", ""inverseOntologyProperty"": """"}]",Architect,505c65ad-18d6-5d12-837a-a3ad42292ebd,https://n2t.net/ark:/15052/8c71e079-f754-4557-aaae-5e305b9ed25c,Brabant Cloud ARK Identifier,E.L. Jansen,,,
54e9cf54-8fab-5d54-835f-b12c2aa3ebf1,architects,5,"[{""resourceId"": ""5b4bc6c3-5048-5ea0-8848-f6e57fb9631b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6d625d1-705f-5366-923c-e183829791c6"", ""inverseOntologyProperty"": """"}]",Architect,5b4bc6c3-5048-5ea0-8848-f6e57fb9631b,https://n2t.net/ark:/15052/aca21044-af83-4d16-84f7-ba64a76c9d50,Brabant Cloud ARK Identifier,J.H. Epen,,,
bd6dc431-65ba-5116-9631-db1f9f0f3cee,architects,5,"[{""resourceId"": ""2d027b2f-fa59-5818-ba2d-8097143d58bd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7378e02f-7e48-5a6a-a5f6-2a142a3ab344"", ""inverseOntologyProperty"": """"}]",Architect,2d027b2f-fa59-5818-ba2d-8097143d58bd,https://n2t.net/ark:/15052/251f63a1-dc23-4e9c-978f-6d5211251d4b,Brabant Cloud ARK Identifier,Marinus Jan Granpré Molière,"['G. Moliere', 'M.J. Granpré Molière', 'Granpré Molière', 'G. Molière', 'Granpre Moliere', 'M.J. Molière', 'G.P. Molière', 'Marinus Jan Granpre Moliere', 'M.J.G. Molière', 'M.J.G. Moliere']",https://www.wikidata.org/entity/Q1898593,Wikidata
5e855bff-41fa-5107-91d0-e86f3de29239,architects,5,"[{""resourceId"": ""d2be7260-c41a-54a0-8d83-0681d63d09d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f35198b9-e08d-5ddd-b007-ac9a02a3e3ba"", ""inverseOntologyProperty"": """"}]",Architect,d2be7260-c41a-54a0-8d83-0681d63d09d3,https://n2t.net/ark:/15052/ed3f1207-8a6c-4995-b25a-572386e53b26,Brabant Cloud ARK Identifier,Pierre Cuypers,"['Petrus Joseph Hubertus Cuypers', 'Peter J.J. de Cuyper', 'P.J.H. Cuypers', 'Pierre Joseph Hubert Cuypers', 'Petrus Josephus Hubertus Cuypers']",https://www.wikidata.org/entity/Q540431,Wikidata
5e855bff-41fa-5107-91d0-e86f3de29239,architects,5,"[{""resourceId"": ""872d540a-5971-594e-a6fe-45d67b97d83a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e73d4b1e-ef4f-5436-95ef-a6b5194cb83b"", ""inverseOntologyProperty"": """"}]",Architect,872d540a-5971-594e-a6fe-45d67b97d83a,https://n2t.net/ark:/15052/ce8a9d36-e336-4b8d-90a7-7f582fea3db5,Brabant Cloud ARK Identifier,Jos Ritzen,J. Ritzen,http://www.wikidata.org/entity/Q29415105,Wikidata
5e855bff-41fa-5107-91d0-e86f3de29239,architects,5,"[{""resourceId"": ""1ca73a4a-8d41-5751-8cab-beef02a0efbb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d4cfeae3-5b46-5fe1-8a11-44bfcdbb600e"", ""inverseOntologyProperty"": """"}]",Architect,1ca73a4a-8d41-5751-8cab-beef02a0efbb,https://n2t.net/ark:/15052/4a4c4b4e-6481-45b0-af82-721eaedfe2bc,Brabant Cloud ARK Identifier,Jo Spaans,J. Spaans,,
