ResourceID,card,card_order,rights_type,language,resource_id,identifier_content,identifier_type,name_content,name_content_type,name_content_language,language_type,other_identifier_content,other_identifier_type,destruction_timespan_start,in_use_timespan_start,has_part,building_status,previous_building
e5629243-c36b-5120-818d-58c279a62f8d,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/67b1009d-a2f4-42ca-96bc-fdc1089a9dd4,https://n2t.net/ark:/15052/67b1009d-a2f4-42ca-96bc-fdc1089a9dd4,Brabant Cloud ARK Identifier,Huize Sparrendaal,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3647,Wikibase,2009,2007,,,
fafd282c-7ff6-5af1-b04a-498b5978d85b,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/47edc457-1d84-445f-a7eb-b5b84ca6bd3f,https://n2t.net/ark:/15052/47edc457-1d84-445f-a7eb-b5b84ca6bd3f,Brabant Cloud ARK Identifier,De Steffenberg,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3648,Wikibase,2004,1971,,,
3cd77a54-80bf-54ca-9644-69864f2b14ba,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/c7d3003d-ef78-4e81-afb8-4830a21beaaa,https://n2t.net/ark:/15052/c7d3003d-ef78-4e81-afb8-4830a21beaaa,Brabant Cloud ARK Identifier,Gesticht Het Goddelijk Kind Jezus,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3652,Wikibase,2001,1999,,,
ed9897cb-9137-5da3-9696-b8543a8458f5,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/98118836-e600-4bfe-bdc4-f00a0d84f05e,https://n2t.net/ark:/15052/98118836-e600-4bfe-bdc4-f00a0d84f05e,Brabant Cloud ARK Identifier,Klooster van de Heilige Theresia van Lisieux,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3653,Wikibase,,1997,,Rijksmonument,
194dd9d5-9362-579e-aaf4-852daee40709,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/ef454b69-863e-4047-ad8f-6193a3de593a,https://n2t.net/ark:/15052/ef454b69-863e-4047-ad8f-6193a3de593a,Brabant Cloud ARK Identifier,Klooster in kasteel Dussen,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3654,Wikibase,,1920,,Rijksmonument,
b3c0f2fa-892f-5873-a1af-feac0c64fe6c,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/fdcffa59-c745-436f-82b3-8f6b2fe1d257,https://n2t.net/ark:/15052/fdcffa59-c745-436f-82b3-8f6b2fe1d257,Brabant Cloud ARK Identifier,Klooster Sint-Jan Evangelist,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3655,Wikibase,,1-8-1960,,Gemeentelijk monument,
7cb51274-4bd9-5fbc-8d02-159fd8158121,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/6af8d3c4-725c-4cc0-a9a9-23b651e8991d,https://n2t.net/ark:/15052/6af8d3c4-725c-4cc0-a9a9-23b651e8991d,Brabant Cloud ARK Identifier,Huize Heilige Philomena,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3656,Wikibase,2002,1984,,,
21816603-15fa-58ba-aee5-060d12f7b220,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/496bb65e-a4db-496a-b36d-1cfa5d3bf589,https://n2t.net/ark:/15052/496bb65e-a4db-496a-b36d-1cfa5d3bf589,Brabant Cloud ARK Identifier,Generalaat Broeders van Huijbergen,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3657,Wikibase,,1970,,,
159b0b53-539d-59a5-8800-238d51740539,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/0963f6bb-4b84-4e37-a087-31bbabfda4bb,https://n2t.net/ark:/15052/0963f6bb-4b84-4e37-a087-31bbabfda4bb,Brabant Cloud ARK Identifier,Klooster Sainte Marie,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3658,Wikibase,1944,1941,"[{""resourceId"": ""00535f4d-c0e4-5c55-9c6c-863092cab3c8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""332d47fc-19a7-5043-ae58-3f078b171b3a"", ""inverseOntologyProperty"": """"}]",,
dfda74a4-1f0c-574f-9475-32f1c1aa9de6,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/5ef7ba4c-84a1-4c75-94c4-45aaf4369ca6,https://n2t.net/ark:/15052/5ef7ba4c-84a1-4c75-94c4-45aaf4369ca6,Brabant Cloud ARK Identifier,Onze Lieve Vrouwe Ter Duinen,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3659,Wikibase,,1-12-2001,,,
969ff03b-0cb2-5177-b451-1104c9619c55,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/8dfca646-1d95-42ce-9bda-6169dcbda1e3,https://n2t.net/ark:/15052/8dfca646-1d95-42ce-9bda-6169dcbda1e3,Brabant Cloud ARK Identifier,Villa Bieduinenhof,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3660,Wikibase,,1978,,Rijksmonument,
1a3cadd2-109d-5b3a-b7ea-e904d29fe362,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/a600f845-6821-4517-96cb-521316bfaf7b,https://n2t.net/ark:/15052/a600f845-6821-4517-96cb-521316bfaf7b,Brabant Cloud ARK Identifier,Klooster in het Jacoba van Beierenhuis,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3661,Wikibase,,14-12-1985,,Rijksmonument,
ab7dc7b8-3dba-5fcc-a084-b20034172b00,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/24e77b44-860e-4189-9bee-871770f8c912,https://n2t.net/ark:/15052/24e77b44-860e-4189-9bee-871770f8c912,Brabant Cloud ARK Identifier,Abdij Maria Toevlucht,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3663,Wikibase,,1900,,Gemeentelijk monument,
bcb6ef35-70c0-58c8-a5d5-f179d606e4b9,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/a03ac23e-94b2-4aba-a77e-b5965da24b7f,https://n2t.net/ark:/15052/a03ac23e-94b2-4aba-a77e-b5965da24b7f,Brabant Cloud ARK Identifier,Sint-Vincentius-seminarie,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3664,Wikibase,20e eeuw,20e eeuw,"[{""resourceId"": ""3fc5355a-09aa-560f-b541-d8281022562c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0cd8d6e2-b8e6-5ad0-952d-3b65bd345987"", ""inverseOntologyProperty"": """"}]",,
a615ae57-3bf6-569a-a341-a4b22ae7017c,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/3c8e6787-2ce5-43dd-a8a8-61f33b8827b2,https://n2t.net/ark:/15052/3c8e6787-2ce5-43dd-a8a8-61f33b8827b2,Brabant Cloud ARK Identifier,Vrouwenconvent Sint-Geertrui,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3665,Wikibase,1842,1629,,,
dd6190b7-ff34-5865-90e5-edfd1aacc540,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/03c3e49a-a23d-4a98-815a-858cea5a5dba,https://n2t.net/ark:/15052/03c3e49a-a23d-4a98-815a-858cea5a5dba,Brabant Cloud ARK Identifier,Klooster Annenborch,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3682,Wikibase,1669,1572,,Rijksmonument,
e9781eec-76e6-5c82-95d8-ad2d2cff614a,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/67fd314c-40dd-4c20-a90c-56c0b1a5f7cd,https://n2t.net/ark:/15052/67fd314c-40dd-4c20-a90c-56c0b1a5f7cd,Brabant Cloud ARK Identifier,Bogardenklooster,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3694,Wikibase,1768,17e eeuw,,,
