ResourceID,card,card_order,image_identifier_content,image_identifier_type,image_other_identifier_content,image_other_identifier_type,image_name_content,image_name_content_type,image_name_content_language,image_right_type,image_url
80918dc4-c839-5046-b7e8-3d9f9e6d7ee8,image,11,https://n2t.net/ark:/15052/aa43d92b-30da-4c84-9a7b-c0de976f2f36,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1665,Wikibase,Velp (NB) Rijksmonument 515569 Mariëndaal (De Binckhof) Bijgebouw naast keuken,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/1/1f/Velp_%28NB%29_Rijksmonument_515569_Mari%C3%ABndaal_%28De_Binckhof%29_Bijgebouw_naast_keuken.jpg
80918dc4-c839-5046-b7e8-3d9f9e6d7ee8,image,11,https://n2t.net/ark:/15052/9ad64d2b-6ef0-49ec-8eff-6df90369a216,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2287,Wikibase,"Velp (NB) Rijksmonument 514138 Mariëndaal (De Binckhof) na restauratie, voorkant",Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/6/62/Velp_%28NB%29_Rijksmonument_514138_Mari%C3%ABndaal_%28De_Binckhof%29_na_restauratie%2C_voorkant.jpg
80918dc4-c839-5046-b7e8-3d9f9e6d7ee8,image,11,https://n2t.net/ark:/15052/8b3bf94f-b080-46fd-b685-3da4df90da9d,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1664,Wikibase,Velp (NB) Rijksmonument 514139 Mariëndaal (De Binckhof) keuken,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/f/fe/Velp_%28NB%29_Rijksmonument_514139_Mari%C3%ABndaal_%28De_Binckhof%29_keuken.jpg
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/ba9d70bf-bdd4-4e3f-89a5-5addd3cc14d5,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1663,Wikibase,Velp Rijksmonument 515528 oostelijke vleugel zusterklooster Basilius van Bruggelaan 2,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/7/77/Velp_Rijksmonument_515528_oostelijke_vleugel_zusterklooster_Basilius_van_Bruggelaan_2.JPG
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/3e799841-e82b-47d0-b808-a9a41751465d,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1666,Wikibase,Velp Rijksmonument 515527 kapel zusterklooster Basilius van Bruggelaan 2,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/9/9e/Velp_Rijksmonument_515527_kapel_zusterklooster_Basilius_van_Bruggelaan_2.JPG
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/e2959f2c-bf84-4481-9e55-3a49c8ca879d,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1660,Wikibase,Velp Rijksmonument 515525 middendeel met entree zusterklooster Basilius van Bruggelaan 2,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/b/ba/Velp_Rijksmonument_515525_middendeel_met_entree_zusterklooster_Basilius_van_Bruggelaan_2.JPG
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/5fa6d447-23d0-40fc-a38a-02f2dd7c435f,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1661,Wikibase,Velp Rijksmonument 514132 Oud gedeelte zusterklooster Basilius van Bruggelaan 2,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/2/2e/Velp_Rijksmonument_514132_Oud_gedeelte_zusterklooster_Basilius_van_Bruggelaan_2.JPG
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/78fb11c2-06be-4450-8f62-e07de867828a,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1654,Wikibase,Velp Rijksmonument 514133 westelijke vleugel zusterklooster Basilius van Bruggelaan,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/d/da/Velp_Rijksmonument_514133_westelijke_vleugel_zusterklooster_Basilius_van_Bruggelaan.JPG
bdcea21b-12db-5d25-8997-db3194a49be7,image,11,https://n2t.net/ark:/15052/61f4893b-4ac6-4062-961c-fc8082b6981a,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1662,Wikibase,Velp Rijksmonument 515526 zuidelijke vleugel zusterklooster Basilius van Bruggenlaan 2,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/d/dd/Velp_Rijksmonument_515526_zuidelijke_vleugel_zusterklooster_Basilius_van_Bruggenlaan_2.JPG
9f0c2338-21ac-566a-9350-a71331b17617,image,11,https://n2t.net/ark:/15052/263d50bd-0af6-46e9-b068-2583b49a5061,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2297,Wikibase,"Velp, inondation autour du monastère des capucins (BHIC)",Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/a/a4/Velp%2C_inondation_autour_du_monast%C3%A8re_des_capucins_%28BHIC%29.JPG
