ResourceID,card,card_order,dedication_activity_actor,dedication_activity_actor_role,resource_id,identifier_content,identifier_type,name,alt_names,other_identifier_content,other_identifier_type
d6910a89-5434-5ec1-a4a8-cf320e9226d3,dedications,6,"[{""resourceId"": ""71159ec8-672d-5ab2-82f9-65243827885b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""46650924-12ef-53b3-8cc1-c19b6dd295df"", ""inverseOntologyProperty"": """"}]",Dedicated to,71159ec8-672d-5ab2-82f9-65243827885b,https://n2t.net/ark:/15052/e58ffeb6-87ee-4219-ba44-c70c26f1ed4d,Brabant Cloud ARK Identifier,Vincentius van Zaragoza,"['Vincentius van Saragossa', 'Sint-Vincentius Martelaar', 'Vincentius van Valencia']",https://www.wikidata.org/entity/Q318974,Wikidata
d66a8393-0d21-51b2-87ba-65080d5e3f98,dedications,6,"[{""resourceId"": ""72d36de0-ea7f-5a04-a3c7-bfb8bde17b08"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a7bb6390-ea09-5fbc-9b44-32084b648d9f"", ""inverseOntologyProperty"": """"}]",Dedicated to,72d36de0-ea7f-5a04-a3c7-bfb8bde17b08,https://n2t.net/ark:/15052/434fc310-2aa1-4eb9-8bf6-f77c948b4547,Brabant Cloud ARK Identifier,Michaël,"['Aartsengel Michael', 'Aartsengel Michaël', 'Heilige Michael', 'Michael', 'Sint Michael', 'Sint Michaël', 'Sint-Michael', 'Sint-Michiel', 'Sint-Michaël']",https://www.wikidata.org/entity/Q45581,Wikidata
e42dcedd-8ecd-56a8-97bf-3bf127b2c405,dedications,6,"[{""resourceId"": ""0b5fae8b-f553-55de-ace7-7b891a2376db"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3b45821a-d6d9-5e98-9daa-b27f6d5676df"", ""inverseOntologyProperty"": """"}]",Dedicated to,0b5fae8b-f553-55de-ace7-7b891a2376db,https://n2t.net/ark:/15052/f7513536-2a12-40f3-b413-7fe996864af3,Brabant Cloud ARK Identifier,Victor van Xanten,,https://www.wikidata.org/entity/Q651226,Wikidata
88817008-8833-558c-9967-e8aea591402c,dedications,6,"[{""resourceId"": ""e4fdbac9-c86e-562a-98ba-a09fa28b0c63"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0817bcc0-0c71-561c-ae9d-e60b4b99e7a8"", ""inverseOntologyProperty"": """"}]",Dedicated to,e4fdbac9-c86e-562a-98ba-a09fa28b0c63,https://n2t.net/ark:/15052/98068045-1944-478f-a0c0-6ec7acbc32a5,Brabant Cloud ARK Identifier,Anna,"['Sint Anna', 'Sint-Anna', 'Heilige Anna', 'St. Anna', 'Hannah']",https://www.wikidata.org/entity/Q164294,Wikidata
0038e891-2394-52f1-9416-c8952c6e4eca,dedications,6,"[{""resourceId"": ""4174c321-76f4-5f35-ae67-7cf508e4216e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""827b1acd-e5f9-5f24-a1ec-eb3b9d08e22d"", ""inverseOntologyProperty"": """"}]",Dedicated to,4174c321-76f4-5f35-ae67-7cf508e4216e,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Brabant Cloud ARK Identifier,Johannes de Doper,"['St. Jan de Doper', 'Sint Jan de Doper', 'Jahja', 'Johannes Baptista', 'Johannes die Doper', 'Johannes-de-Doper', 'Sint-Jan Baptist', 'Sint-Jan de Joper', 'Sint-Jan-Baptist', 'Sint-Johannes de Doper', 'Yahya']",http://www.wikidata.org/entity/Q40662,Wikidata
bd6dc431-65ba-5116-9631-db1f9f0f3cee,dedications,6,"[{""resourceId"": ""d39e5c88-b1a3-52ff-891f-491c8e1e5815"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba71dae4-4541-520e-9a90-527f8e985674"", ""inverseOntologyProperty"": """"}]",Dedicated to,d39e5c88-b1a3-52ff-891f-491c8e1e5815,https://n2t.net/ark:/15052/3b8e18ae-7aa8-469e-b6ab-25c537ce58b9,Brabant Cloud ARK Identifier,Maria,"['Onze Lieve Vrouwe', 'Heilige Maagd', 'Sint-Maria', 'Onze-Lieve-Vrouwe', 'Onze-Lieve-Vrouw', 'Onze Lieve Vrouw', 'OLV', 'Moeder van God', 'Moeder Gods', 'Mary', 'Maria van Nazareth', 'Maria (moeder van jezus)', 'Maagd Maria', 'Heilige Maagd Maria']",https://www.wikidata.org/entity/Q345,Wikidata
bd6dc431-65ba-5116-9631-db1f9f0f3cee,dedications,6,"[{""resourceId"": ""511af9ce-c468-554e-b6ff-5dece0ed7861"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b7d99950-35c8-51dc-874c-b1c42c2bf339"", ""inverseOntologyProperty"": """"}]",Dedicated to,511af9ce-c468-554e-b6ff-5dece0ed7861,https://n2t.net/ark:/15052/3b8e18ae-7aa8-469e-b6ab-25c537ce58b9,Brabant Cloud ARK Identifier,Onze-Lieve-Vrouw van Altijddurende Bijstand,"['Onze-Lieve-Vrouw van Bijstand en Victorie', 'Onze-Lieve-Vrouw van Bijstand']",https://www.wikidata.org/entity/Q178754,Wikidata
382b3cbd-9f7f-5927-93ad-0129dada9802,dedications,6,"[{""resourceId"": ""4cbdba98-5a7c-5079-9a1b-b8bb97484022"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dbbde8bc-667a-598a-8312-4c7a1243d44b"", ""inverseOntologyProperty"": """"}]",Dedicated to,4cbdba98-5a7c-5079-9a1b-b8bb97484022,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Brabant Cloud ARK Identifier,Agatha van Sicilië,"['Agatha van Sicil', 'Heilige Agatha van Catania', 'Agatha van Sicilie', 'Sint-Agatha', 'Agata van Sicilie', 'Agatha van Catania', 'Agata van Sicilië', 'Agata van Catania', 'Agaat van Sicilië', 'Agaat van Sicilie', 'Agaat van Sicil', 'Agaat van Catania', 'Heilige Agatha van Sicilië', 'St. Agatha', 'Agatha van Sicilië', 'Sint Agatha']",https://www.wikidata.org/entity/Q200895,Wikidata
5e855bff-41fa-5107-91d0-e86f3de29239,dedications,6,"[{""resourceId"": ""78cdf6bd-dba2-5afd-ae39-5f97119292bf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b70df5b0-0bc5-5fc9-8a9f-b328028d6b3f"", ""inverseOntologyProperty"": """"}]",Dedicated to,78cdf6bd-dba2-5afd-ae39-5f97119292bf,https://n2t.net/ark:/15052/881e5c82-5cf3-4e45-b698-235b138e64a1,Brabant Cloud ARK Identifier,Benedictus van Nursia,"['Abbot of Monte Cassino Saint Benedict', 'Sint-Benedictus', 'Sint Benedictus', 'Benedictus van Nurcia', 'Benedictus']",https://www.wikidata.org/entity/Q44265,Wikidata
b8b2bb55-83ab-504d-836d-2e24ca0d8d2a,dedications,6,"[{""resourceId"": ""49bd5f4b-4f00-5018-9902-8aece574e08d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""03ae9f86-7b01-552a-8399-5c33fac5a504"", ""inverseOntologyProperty"": """"}]",Dedicated to,49bd5f4b-4f00-5018-9902-8aece574e08d,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,Brabant Cloud ARK Identifier,Antonius van Padua,"['Heilige Antonius', 'H. Antonius', 'Sint-Anthonius van Padua', 'Sint Anthonius van Padua']",https://www.wikidata.org/entity/Q167477,Wikidata
