ResourceID,card,card_order,other_identifier_content,other_identifier_type
37908230-ffe2-5054-a910-743baf57896c,other_identifiers,2,"https://www.bossche-encyclopedie.nl/overig/kloosters/meerwijck,%20de.htm",regioWiki
37908230-ffe2-5054-a910-743baf57896c,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_ht052-004126,MIP
67e877db-14c3-57b8-89e1-6628b0d5d354,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3030,Wikibase
67e877db-14c3-57b8-89e1-6628b0d5d354,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/522462,RCE Monuments
67e877db-14c3-57b8-89e1-6628b0d5d354,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_ht095-000827,MIP
b8fefe14-beb7-54d4-8677-606fc0bffc5c,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3031,Wikibase
b8fefe14-beb7-54d4-8677-606fc0bffc5c,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_kl066-000205,MIP
7fbab965-3fa4-5485-9273-d944ccb14c24,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3032,Wikibase
7fbab965-3fa4-5485-9273-d944ccb14c24,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/517120,RCE Monuments
7fbab965-3fa4-5485-9273-d944ccb14c24,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-003050,MIP
99f05725-5c7f-5838-82d3-95dc48b7e721,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3033,Wikibase
99f05725-5c7f-5838-82d3-95dc48b7e721,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/517076,RCE Monuments
c6da3e83-5c38-5ee4-be71-3a851e2deba2,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3034,Wikibase
c6da3e83-5c38-5ee4-be71-3a851e2deba2,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-003038,MIP
7156e283-80fa-5a7d-b53e-d5825f02f52e,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3035,Wikibase
06a1ed02-a387-58c0-a7c4-f7396d6c54ae,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3036,Wikibase
06a1ed02-a387-58c0-a7c4-f7396d6c54ae,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-002922,MIP
2445104b-fcb9-5bd8-bd4d-b7b54aa4afd4,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3037,Wikibase
d1649ae5-cf37-5a9f-807b-28001d47391b,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3038,Wikibase
f4e1e51a-53ea-5c04-b228-eae5a0601f0d,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3039,Wikibase
f4e1e51a-53ea-5c04-b228-eae5a0601f0d,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-003018,MIP
