ResourceID,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,H. Hart-Stichting,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,Heilig Hartstichting,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,Heilig Hart-klooster,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,Heilig Hart-stichting,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,H. Hart-klooster,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,H. Hartklooster,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Klooster van Meeuwen,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Klooster Heilig Hart,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,H. Hartklooster,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Klooster H. Hart,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Heilig Hartklooster,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Gesticht van Meeuwen,Alternative,Nederlands
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,alternate_names,2,Stichting Huis van Meeuwen,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,Het H. Hart klooster,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,Voormalig H. Hartklooster,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,Voormalig Heilig Hartklooster,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,H. Hartklooster,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,Het Heilig Hart klooster,Alternative,Nederlands
a763afeb-1f19-54a9-a80a-5c7117aad34a,alternate_names,2,Voormalig H. Hart Klooster,Alternative,Nederlands
86a4478d-ae19-5e32-be07-93b184b3eb31,alternate_names,2,Klooster Marienschoot,Alternative,Nederlands
86a4478d-ae19-5e32-be07-93b184b3eb31,alternate_names,2,Klooster Mariaschoot,Alternative,Nederlands
