card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,resource_id,other_identifier_type,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,0759fb60-9fa4-5014-abf4-4988523716a9,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Brabant Cloud ARK Identifier,Maria-Tenhemelopneming,"['De Tenhemelopneming van Maria', 'Maria Tenhemelopneming', 'Maria-ten-Hemelopneming', 'Onze-Lieve-Vrouw Hemelvaart', 'Onze-Lieve-Vrouw Ten Hemelopneming', 'Hemelvaart van Maria', 'Maria ten hemel opgenomen', 'Maria-Hemelvaart', 'O. L. Vrouw ten Hemel Opgenomen', 'Onze Lieve Vrouwe ten Hemelopneming', 'Onze-Lieve-Vrouw ten Hemel Opgenomen', 'Maria Hemelvaart', 'O.L. Vrouw Hemelvaart']",https://www.wikidata.org/entity/Q162691,Wikidata,,,,
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,De Tenhemelopneming van Maria,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria Tenhemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria-ten-Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw Ten Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Hemelvaart van Maria,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria ten hemel opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria-Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,O. L. Vrouw ten Hemel Opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze Lieve Vrouwe ten Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw ten Hemel Opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,O.L. Vrouw Hemelvaart,Alternative,Nederlands
Actors,0,07694276-9fda-5d68-a3ee-b8e3187fbb35,https://n2t.net/ark:/15052/fa1cafc2-3f28-4cf3-bebc-e44834111961,Brabant Cloud ARK Identifier,L. Spildoorn,,,,,,,
Actors,0,08355fd2-39b9-5c85-9206-cc180cc8586c,https://n2t.net/ark:/15052/0ff4cf4d-4006-40db-bee5-d2f8913a8bae,Brabant Cloud ARK Identifier,G. Opstelten,,,,,,,
