ResourceID,card,card_order,consecration_activity_religion
7e2ba084-970a-5eb3-9acd-c1da8dbccc4d,organisation,2,Rooms-Katholieke Kerk
594f0422-4d4c-51e8-897b-0acebc685c8f,organisation,2,Rooms-Katholieke Kerk
2253ef4e-5ebd-5a98-849b-cec8cdff9644,organisation,2,Rooms-Katholieke Kerk
6f8bd3f0-ccbe-55bd-b026-9fce7cacc40f,organisation,2,Rooms-Katholieke Kerk
b67b3fb4-fd65-5c81-ba7f-800031bba50a,organisation,2,Rooms-Katholieke Kerk
88abcf6e-d2f5-537a-81eb-8bef23ae1b06,organisation,2,Rooms-Katholieke Kerk
42d5101d-67c4-5a1c-82ab-8ad54277ef1c,organisation,2,Rooms-Katholieke Kerk
ad513b88-a478-55df-9b17-28b72acbc0e7,organisation,2,Rooms-Katholieke Kerk
c85af1e7-af34-545c-b29a-42fc9e695190,organisation,2,Rooms-Katholieke Kerk
ca4373be-d2c5-536f-b270-2321e012b1e5,organisation,2,Rooms-Katholieke Kerk
54fb87e7-c810-543c-9c80-f73ec0567782,organisation,2,Rooms-Katholieke Kerk
62814707-912c-509d-ab9e-20fb36aea8a8,organisation,2,Rooms-Katholieke Kerk
36b9bd68-f0f4-50b8-9c67-40dcf75df97b,organisation,2,Rooms-Katholieke Kerk
778a9605-9db5-5ccd-a08a-4b2d02f772cf,organisation,2,Rooms-Katholieke Kerk
da001e5d-4020-5634-80d4-ff70aa9a5985,organisation,2,Rooms-Katholieke Kerk
6a99f407-6a95-58a2-b8eb-4f97f2849028,organisation,2,Rooms-Katholieke Kerk
a1ba8de5-e6cb-5db9-a59b-9492a3895d74,organisation,2,Rooms-Katholieke Kerk
784b02fb-9dea-5a84-982e-39e427be7275,organisation,2,Rooms-Katholieke Kerk
c5dea0ef-63f1-5505-9ebe-f5d9952c45a5,organisation,2,Rooms-Katholieke Kerk
69c81336-9908-561d-a2b7-5103a5735b4d,organisation,2,Rooms-Katholieke Kerk
d1af32d3-0eff-5d7a-b5cb-d11cfba7aad4,organisation,2,Rooms-Katholieke Kerk
1390a0a1-f6dc-56ae-870d-3165771b25c2,organisation,2,Rooms-Katholieke Kerk
2af1a578-ebfe-53c1-8576-f6dd6460d28d,organisation,2,Rooms-Katholieke Kerk
8dce2fdd-14a1-55ff-afc1-d6238785fc04,organisation,2,Rooms-Katholieke Kerk
5a0f72e7-792b-5596-b861-dc29c7381ac6,organisation,2,Rooms-Katholieke Kerk
7824d8ad-0c02-52b5-8e4f-d687efabb5a7,organisation,2,Rooms-Katholieke Kerk
a76225e1-24d6-5dd8-b747-4ff4b8aa9ac7,organisation,2,Rooms-Katholieke Kerk
5094d4c8-a4be-5e5a-8dca-2924d5176c9f,organisation,2,Rooms-Katholieke Kerk
5036d73b-73d6-5ca9-99c2-ef1d0cd37a08,organisation,2,Rooms-Katholieke Kerk
6b3a6e8c-5fae-5e38-b164-9e607c42178d,organisation,2,Rooms-Katholieke Kerk
d2f2ffda-d62a-5bf5-8dec-a6d69b81fbb9,organisation,2,Rooms-Katholieke Kerk
315ec1d5-e27a-5495-b08f-128a125ffbea,organisation,2,Rooms-Katholieke Kerk
1547f0b5-8f30-5f7e-94f7-e805749d80c8,organisation,2,Rooms-Katholieke Kerk
33ef5ba3-0ef4-5f6f-b39b-e8d35942d687,organisation,2,Rooms-Katholieke Kerk
32aab516-047e-5b61-b466-b6fa1fc39e19,organisation,2,Rooms-Katholieke Kerk
1cdd4a3d-38f3-56a6-9412-21f919f8d785,organisation,2,Rooms-Katholieke Kerk
b39cfb72-c820-5099-8264-c91130193deb,organisation,2,Rooms-Katholieke Kerk
7bf3b848-e9ed-5991-afce-e8011b804dde,organisation,2,Rooms-Katholieke Kerk
4a7d95da-7af1-5027-9e0f-6a57c1827c8d,organisation,2,Rooms-Katholieke Kerk
076da7b5-7a6e-577a-9992-da9780aba083,organisation,2,Rooms-Katholieke Kerk
4836ba79-8723-5b64-b660-7e7d25612b09,organisation,2,Rooms-Katholieke Kerk
ca4ef0c9-4c97-5608-9b03-1eba30e12223,organisation,2,Rooms-Katholieke Kerk
fb6f8bfc-50ee-52e3-98bf-3a46b376277f,organisation,2,Rooms-Katholieke Kerk
b1b9bcc1-a565-58e8-a4ee-b3d4b702f443,organisation,2,Rooms-Katholieke Kerk
e345cc5d-7c66-5d85-a503-f0531629358d,organisation,2,Rooms-Katholieke Kerk
17bfa800-fe80-555a-a8a6-6133794986c5,organisation,2,Rooms-Katholieke Kerk
74a3e087-4474-58e8-9f3c-d8e4ef5cb049,organisation,2,Rooms-Katholieke Kerk
774671a9-f11c-5724-9233-604fe8a86898,organisation,2,Rooms-Katholieke Kerk
c58d589e-b5ee-57b5-ad8d-ce7e16c07456,organisation,2,Rooms-Katholieke Kerk
84923d7a-4366-5887-8219-874a670255e9,organisation,2,Rooms-Katholieke Kerk
c9a0b690-ca72-50a2-9e65-220c844b7e29,organisation,2,Rooms-Katholieke Kerk
a7d4e97f-6748-5199-b52e-fcfaf6dd5e84,organisation,2,Rooms-Katholieke Kerk
c25c2079-80f5-551a-af9c-0184abbf0650,organisation,2,Rooms-Katholieke Kerk
b58d8977-777a-5440-aacb-2fd010030629,organisation,2,Rooms-Katholieke Kerk
6ea51448-75d6-5c0d-b71b-84ac94bcc1a5,organisation,2,Rooms-Katholieke Kerk
36fcf4f4-0d51-54cb-a784-a087d277d203,organisation,2,Rooms-Katholieke Kerk
7b785c84-1797-5134-b871-a83c2d99b285,organisation,2,Rooms-Katholieke Kerk
21c7de08-57d8-54b6-a375-31522000a516,organisation,2,Rooms-Katholieke Kerk
a6da9c92-5491-5d14-97a2-b3830c378dcd,organisation,2,Rooms-Katholieke Kerk
a5feb217-8cbb-54d3-8ec7-74019403e870,organisation,2,Rooms-Katholieke Kerk
0b555b5c-d71f-5519-899b-a5f1b23e34bf,organisation,2,Rooms-Katholieke Kerk
e870436b-9a89-51d5-aa8a-2d9f3fef6969,organisation,2,Rooms-Katholieke Kerk
