ResourceID,card,card_order,alternative_name_content,alternative_name_type,alternative_name_language
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Voormalig H. Hartklooster,Alternative,Nederlands
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Voormalig Heilig Hartklooster,Alternative,Nederlands
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,H. Hartklooster,Alternative,Nederlands
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Het Heilig Hart klooster,Alternative,Nederlands
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Voormalig H. Hart Klooster,Alternative,Nederlands
bffcc106-2250-567b-975a-865b4b614c6e,organisation,2,Klooster Marienschoot,Alternative,Nederlands
bffcc106-2250-567b-975a-865b4b614c6e,organisation,2,Klooster Mariaschoot,Alternative,Nederlands
bffcc106-2250-567b-975a-865b4b614c6e,organisation,2,Klooster Mariën Schoot,Alternative,Nederlands
10e4537d-5299-5dc8-995c-308d11136415,organisation,2,Moederhuis zrs van Asten,Alternative,Nederlands
10e4537d-5299-5dc8-995c-308d11136415,organisation,2,Klooster Ave Maria,Alternative,Nederlands
10e4537d-5299-5dc8-995c-308d11136415,organisation,2,Landgoed Semper Virens,Alternative,Nederlands
10e4537d-5299-5dc8-995c-308d11136415,organisation,2,Villa. H. Vorstermans,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,St. Antoniusschool,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,Mariaschool,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,R.K. School Sint Antonius,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,Sint-Antoniusschool,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,Sint Antoniusschool,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,Ave Maria,Alternative,Nederlands
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,R.K. School St. Antonius,Alternative,Nederlands
aad68ef7-cc06-527e-b191-d94436cd3438,organisation,2,Zusterklooster,Alternative,Nederlands
aad68ef7-cc06-527e-b191-d94436cd3438,organisation,2,Belgisch nonnenklooster,Alternative,Nederlands
ac787a65-f6e9-59a8-9886-af96ed0b9c9d,organisation,2,Franciscanessenklooster,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Huize Sacre Coeur,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Huize Sacré Coeur,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Huize Sacre-Coeur,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Huize Sacré-Coeur,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Institut du Sacré-Coeur,Alternative,Nederlands
ca0b00f4-a421-533e-925c-1281603caf3f,organisation,2,Kweekschool Sint Jan Baptist de la Salle,Alternative,Nederlands
41adcf44-9767-5423-a020-139245a18064,organisation,2,Klooster aan de grens,Alternative,Nederlands
5e98c64a-847c-500e-a8db-984f1d026931,organisation,2,Klooster O.L. Vrouw van Fatima,Alternative,Nederlands
5e98c64a-847c-500e-a8db-984f1d026931,organisation,2,Klooster O.L.V. van Fatima,Alternative,Nederlands
b3b0dd1d-3278-53a6-8a58-ed55f512593e,organisation,2,Sint Bernardusklooster,Alternative,Nederlands
b3b0dd1d-3278-53a6-8a58-ed55f512593e,organisation,2,Bernardusklooster,Alternative,Nederlands
b3b0dd1d-3278-53a6-8a58-ed55f512593e,organisation,2,St. Bernardusklooster,Alternative,Nederlands
0e34d8ae-0d4a-53da-8891-34b12c6087ae,organisation,2,Hooghuis,Alternative,Nederlands
0e34d8ae-0d4a-53da-8891-34b12c6087ae,organisation,2,Gaarshof,Alternative,Nederlands
0e34d8ae-0d4a-53da-8891-34b12c6087ae,organisation,2,De Gaarshof,Alternative,Nederlands
0e34d8ae-0d4a-53da-8891-34b12c6087ae,organisation,2,St. Franciscusklooster,Alternative,Nederlands
0e34d8ae-0d4a-53da-8891-34b12c6087ae,organisation,2,Sint Franciscusklooster,Alternative,Nederlands
ffdecf20-010d-5a5a-b92c-4343eabd8937,organisation,2,Gerardus Majellaklooster,Alternative,Nederlands
ffdecf20-010d-5a5a-b92c-4343eabd8937,organisation,2,St. Gerardusklooster,Alternative,Nederlands
ffdecf20-010d-5a5a-b92c-4343eabd8937,organisation,2,Sint Gerardusklooster,Alternative,Nederlands
f440c671-2dbb-5872-8565-13308b88224d,organisation,2,Klooster Huize d'Alzon,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Klooster Onze Lieve Vrouw Onbevlekt Ontvangen,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Huize Sint Augustinus,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Huize Sint-Augustinus,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Huize St. Augustinus,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Klooster O.L. Vrouw Onbevlekt Ontvangen,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Klooster O.L.V. Onbevlekt Ontvangen,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Groot-seminarie van de Assumptionisten,Alternative,Nederlands
9f46dbec-4fb4-5847-bbc0-cb71178a344f,organisation,2,Augustinianum,Alternative,Nederlands
7d16f301-1a63-58b9-9e28-dbc45963f850,organisation,2,St-Joseph gesticht,Alternative,Nederlands
7d16f301-1a63-58b9-9e28-dbc45963f850,organisation,2,Klooster Sint-Jozef,Alternative,Nederlands
7d16f301-1a63-58b9-9e28-dbc45963f850,organisation,2,Sint Jozefgesticht,Alternative,Nederlands
929e68be-ab9c-5f07-b896-c4b2290b8a8f,organisation,2,Sint Jozefgesticht,Alternative,Nederlands
929e68be-ab9c-5f07-b896-c4b2290b8a8f,organisation,2,St. Jozefgesticht,Alternative,Nederlands
929e68be-ab9c-5f07-b896-c4b2290b8a8f,organisation,2,De Meerwijck,Alternative,Nederlands
70ab0ee4-6263-5513-adcf-eea75b84e0a9,organisation,2,St. Jozefgesticht,Alternative,Nederlands
70ab0ee4-6263-5513-adcf-eea75b84e0a9,organisation,2,Sint Jozefgesticht,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Huis van St. Lucia,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Sint Luciaklooster,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,St. Luciaklooster,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Huis van de Heilige Lucia,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Stichting Welzijnscentrum Lucia,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Sint-Luciaklooster,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Huis van de H. Lucia,Alternative,Nederlands
34b5f849-8ce5-5e39-85b7-bb660e861a71,organisation,2,Huis van Sint Lucia,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,Sint Elisabethgasthuis,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,St. Elisabethgasthuis,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,Algemeen Burgergasthuis,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,Sint Elisabeth-gasthuis,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,Algemeen Burger Gasthuis,Alternative,Nederlands
bc03e18d-98c5-5336-a152-5f1472a7f9a9,organisation,2,Sint Elisabeth Ziekenhuis,Alternative,Nederlands
9a4ed6e8-6df9-507d-9e99-c19dc7745031,organisation,2,Broederhuis Huize Boschlust,Alternative,Nederlands
9a4ed6e8-6df9-507d-9e99-c19dc7745031,organisation,2,Broederhuis Boschlust,Alternative,Nederlands
9a4ed6e8-6df9-507d-9e99-c19dc7745031,organisation,2,Jachthuis Boschlust,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Margarietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Katrientje,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint-Margarietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,St. Margarietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,St. Margarehtaklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint-Margarethaklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Margarethaklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Rijke Nonnen,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Dal van Josaphat,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Huize St. Catharina,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Huize Sint-Catharina,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Huize Sint Catharina,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Zorgcentrum Catharina,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,’t Ketrientje,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Katharina Verbeterhuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Katharina Gasthuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Catharina Gasthuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,St. Margrietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint-Margrietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Margrietenklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,St. Catharinagesticht,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,St. Catharinagasthuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint-Catharinagasthuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Catharinaklooster,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Catharinagesticht,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Sint Catharinagasthuis,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Catharinagesticht,Alternative,Nederlands
dd45a26c-0a01-539f-91cf-29c2f641d216,organisation,2,Algemeen Burger Gasthuis,Alternative,Nederlands
c115ef7c-a759-5c25-8b77-7d3506abb79a,organisation,2,Huize Sint Gerardus Majella,Alternative,Nederlands
c115ef7c-a759-5c25-8b77-7d3506abb79a,organisation,2,Huize St. Gerardus Majella,Alternative,Nederlands
9ea9a8ea-d65a-56e9-b7d2-5b712d013d17,organisation,2,Heilig Hartklooster,Alternative,Nederlands
9ea9a8ea-d65a-56e9-b7d2-5b712d013d17,organisation,2,Juvenaat van de Priesters van het H Hart,Alternative,Nederlands
9ea9a8ea-d65a-56e9-b7d2-5b712d013d17,organisation,2,Juvenaat van de Priesters Heilig Hart,Alternative,Nederlands
54f7aef3-e6fa-586a-b30a-70dca8fa164b,organisation,2,Carmelitessenklooster,Alternative,Nederlands
54f7aef3-e6fa-586a-b30a-70dca8fa164b,organisation,2,Carmelietessenklooster,Alternative,Nederlands
4161f148-d179-515b-96e1-eb0b94fd63f6,organisation,2,Klooster en kostschool aan de Hoogstraat,Alternative,Nederlands
08b0b20d-1a43-5a6f-aba6-f89fa156d98e,organisation,2,Buitenvest,Alternative,Nederlands
08b0b20d-1a43-5a6f-aba6-f89fa156d98e,organisation,2,Klooster Heilige Hart,Alternative,Nederlands
08b0b20d-1a43-5a6f-aba6-f89fa156d98e,organisation,2,Klooster H. Hart,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,Klooster Sint Gerardus Majella,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,Klooster St. Gerardus Majella,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,Sint Gerardus Majellaklooster,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,Sint-Gerardus Majellaklooster,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,St. Gerardus Majellaklooster,Alternative,Nederlands
96aa5d2c-cd07-5761-a566-56ddd130809f,organisation,2,Buurtcentrum Het Hoofdkwartier,Alternative,Nederlands
